"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact/Talk Group","Contact/Talk Group Call Type","Contact/Talk Group TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","RX Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Digital Duplex","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Idle TX","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana APRS Mute","Send Talker Alias DMR/NX","AnaAprsTxPath","ARC4","ex_emg_kind","Rpga_Mdc","DisturEn","DisturFreq","dmr_crc_ignore","compand","tx_talkalaes","dup_call","tx_int","BtRxState","idle_tx","nxdn_wn","NxdnRpga","nxdnSqCon","NxdnTxBusy","NxDnPttId","EnRan","DeRan","NxdnEncry","NxdnGroupId","NxdnIdNum","NxdnStateNum","txcc"
"1","Ch01","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch02","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch03","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch04","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch05","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch06","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch07","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch08","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch09","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch10","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch11","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch12","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch13","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch14","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch15","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch16","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch17","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch18","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch19","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch20","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch21","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch22","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch23","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch24","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch25","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch26","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch27","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch28","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch29","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch30","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1","Ch31","438.80000","434.00000","D-Digital","Low","12.5K","Off","Off","TG Alpha","Group Call","2355","TEST01","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","On","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","On","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
