No.,Zone Name,Channel Members
1,Home shack,Home shack|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB3GL Glasgow|GB3CS Motherwell|GB3PA Paisley|GB3DM Dumbarton|Ru PMR 5-13|UK Calling UHF|UK Calling VHF|VHF V30 / S15|VHF V32 / S16|VHF V34 / S17|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|VHF V46 / S23|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4
2,Shack/Fire/SAR,Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB3GL Glasgow|GB3CS Motherwell|GB3PA Paisley|GB3DM Dumbarton|Ru PMR 5-13|UK Calling UHF|UK Calling VHF|VHF V30 / S15|VHF V32 / S16|VHF V34 / S17|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|VHF V46 / S23|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4|FIRE Gen Inciden|FIRE Repeaters/P|FIRE Breath Comm|FIRE Cmd Sppt|FIRE Fixed Rptr.|FIRE Breath func|FIRE Serv Def'd|FIRE Inc Def'd|FIRE Gen Inc-F|FIRE Repeaters-F|FIRE Breathing-F|FIRE Cmd Supp-F|FIRE Fix Rptr-F|FIRE Breath Fn-F|FIRE Srv Def-F|FIRE Inc Def-F|SAR Hailing-F|SARDA Analog|SAR MRC 623|SAR MRC 624|SAR DG1 T1|SAR DG1 T2|SAR DG1 Local|SAR DG1 Local 1|SAR DG2 T1|SAR DG2 T2|SAR DG2 Local|SAR DG2 Local 1|SAR DG3 T1|SAR DG3 T2|SAR DG3 Local|SAR DG3 Local 1|SAR DG4 T1|SAR DG4 T2|SAR DG4 Local
3,Morning walk,Morning walk|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7GL T1|GB7GL T2|GB7GL scratch|GB7GL Scotland|GB7GL Scot West|GB7GL Scot Multi|GB7GL Scot Chat0|GB3GL Glasgow|GB3CS Motherwell|GB3DM Dumbarton|GB3PA Paisley|Ru PMR 5-13|UK Calling VHF|VHF V16 / S08|VHF V18 / S09|VHF V20 / S10|VHF V22 / S11|VHF V24 / S12|VHF V26 / S13|VHF V28 / S14|VHF V30 / S15|VHF V32 / S16|VHF V34 / S17|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4
4,Glasgow,Glasgow|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7GL T1|GB7GL T2|GB7GL scratch|GB7GL Scotland|GB7GL Scot West|GB7GL Scot Multi|GB7GL Scot Chat0|GB7PA T1|GB7PA T2|GB7PA scratch|GB7PA Scot West|GB7PA Scotland|GB7PA Scot Multi|GB7PA Local|GB3GL Glasgow|GB3CS Motherwell|GB3KE Glasgow|GB3KW Glasgow|GB3KV Kilsyth|GB3PA Paisley|GB3DM Dumbarton|Ru PMR 5-13|UK Calling UHF|UK Calling VHF|VHF V16 / S08|VHF V18 / S09|VHF V20 / S10|VHF V22 / S11|VHF V24 / S12|VHF V26 / S13|VHF V28 / S14|VHF V30 / S15|VHF V32 / S16|VHF V34 / S17|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|VHF V46 / S23|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4
5,Glasgow Ext,Glasgow Ext|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7GL T1|GB7GL T2|GB7GL scratch|GB7GL Scotland|GB7GL Scot West|GB7GL Scot Multi|GB7GL Scot Chat0|GB7PA T1|GB7PA T2|GB7PA scratch|GB7PA Scot West|GB7PA Scotland|GB7PA Scot Multi|GB7PA Local|GB3GL Glasgow|GB3CS Motherwell|MB7IKB East Kilb|GB3KE Glasgow|GB3KW Glasgow|MB6CY Clydebank|GB3KV Kilsyth|GB3PA Paisley|GB3DM Dumbarton|MB7IOH Houston|MB6HO Houston|MB7IDQ Alex'ria|MB7IBH Alex'ria|Ru PMR 5-13|UK Calling UHF|UK Calling VHF|VHF V16 / S08|VHF V18 / S09|VHF V20 / S10|VHF V22 / S11|VHF V24 / S12|VHF V26 / S13|VHF V28 / S14|VHF V30 / S15|VHF V32 / S16|VHF V34 / S17|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|VHF V46 / S23|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4
6,Gla-Edi,Gla-Edi|GB3CS Motherwell|GB3GL Glasgow|GB7CB T1|GB7CB T2|GB7CB scratch|GB7CB Scot Chat0|GB7CB Scot Multi|GB7CB Scotland|GB7CB SWest|GB7CB SEast|GB3OH L'gow FM|GB3OH T1|GB3OH T2|GB3OH scratch|GB3OH Scotland|GB3OH SWest|GB3OH Scot Multi|GB3KV Kilsyth|GB7GL T1|GB7GL T2|GB7GL scratch|GB7GL Scotland|GB7GL Scot West|GB7GL Scot Multi|GB7GL Scot Chat0|GB3FE Sterling|GB7FE T1|GB7FE T2|GB7FE scratch|GB7FE Scot Multi|GB7FE Scotland|GB3ED Edinburgh|GB7EE T1|GB7EE T2|GB7EE scratch|GB7EE Scot Multi|GB7EE SWest|GB7EE Scotland|GB7LV Broxburn|GB7BG T1|GB7BG T2|GB7BG scratch|GB7BG Scot Multi|GB7BG Scotland|GB7EU Edin FM|GB7EU T1|GB7EU T2|GB7EU scratch|GB7EU Scotland|GB7EU Scot Chat0|GB7EU SEast|GB7EU SWest|GB7EU SNorth|UK Calling UHF|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
7,Edinburgh,Edinburgh|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7EE T1|GB7EE T2|GB7EE scratch|GB7EE Scot Multi|GB7EE SWest|GB7EE Scotland|GB3ED Edinburgh|GB7EU Edin FM|GB7LV Broxburn|GB7CB T1|GB7CB T2|GB7CB scratch|GB7CB Scot Chat0|GB7CB Scot Multi|GB7CB Scotland|GB7CB SWest|GB7CB SEast|GB3OH L'gow FM|GB3OH T1|GB3OH T2|GB3OH scratch|GB3OH Scotland|GB3OH SWest|GB3OH Scot Multi|GB7BG T1|GB7BG T2|GB7BG scratch|GB7BG Scot Multi|GB7BG Scotland|UK Calling VHF|UK Calling UHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22|DMR Simplex 1|DMR Simplex 2|DMR Simplex 3|DMR Simplex 4
8,Alloa,Alloa|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7FE T1|GB7FE T2|GB7FE scratch|GB7FE Scot Multi|GB7FE Scotland|GB3FE Sterling|GB3OH L'gow FM|GB3OH T1|GB3OH T2|GB3OH scratch|GB3OH Scotland|GB3OH SWest|GB3OH Scot Multi|GB3KV Kilsyth|GB7LL K'ross FM|GB7LL T1|GB7LL T2|GB7LL scratch|GB7LL Scotland|GB7LL Scot Chat0|GB7LL Scot Multi|GB7LL SEast|GB7LL SWest|GB7LL UK Calling|GB7LL UK Wide|GB7DA Airdrie|GB7GG Airdire|GB3PR Perth|UK Calling UHF|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
9,Aberdeen,Aberdeen|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB7EM T1|GB7EM T2|GB7EM scratch|GB7EM Scot Multi|GB7EM GB7EC Loca|GB7EM Scotland|GB7GD Aberdeen|GB3GN Banchory|UK Calling UHF|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
10,N. Berwick,N. Berwick|GB7DB T1|GB7DB T2|GB7DB scratch|GB7DB SWest|GB7DB Scot Multi|GB7DB Scotland|GB7DB Atlan. Can|GB7SM St Mon FM|GB7SM St.Monans|GB7GX P'pan FM|GB7GX P'pan DMR
11,Aboyne,Aboyne|Hotspot TS1|Hotspot TS2|Hotspot scratch|HS Scot 2355|HS Scot Multi|HS Scot 23550|HS Scot West|HS MM7IGV|HS GB7EC|GB3AO Aboyne|MB7IOR Aboyne|GB3GN Banchory|GB3HL Leslie FM|GB3HL T1|GB3HL T2|GB3HL scratch|GB3HL SNorth|GB3HL SWest|GB3HL GB3HL Loca|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
12,PMR,PMR446-1|PMR446-2|PMR446-3|PMR446-4|PMR446-5|PMR446-6|PMR446-7|PMR446-8|PMR446-9|PMR446-10|PMR446-11|PMR446-12|PMR446-13|PMR446-14|PMR446-15|PMR446-16
13,Perth,Perth|GB3PR Perth|GB3PU Perth|GB7EF Ladyba. FM|GB7LL K'ross FM|GB7LL T1|GB7LL T2|GB7LL scratch|GB7LL Scotland|GB7LL Scot Chat0|GB7LL Scot Multi|GB7LL SEast|GB7LL SWest|GB7LL UK Calling|GB7LL UK Wide|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
14,Dundee,Dundee|GB3DD Dundee|GB7DM M'fieth FM|GB7DM M'feith DM|GB3AG Angus|GB7EF Ladyba. FM|UK Calling VHF|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
15,Monimail,Monimail|GB7EF Ladyba. FM|GB7EF L'bank DMR|GB7DE K'way FM|GB7DE T1|GB7DE T2|GB7DE scratch|GB7DE SWest|GB7DE Scot Multi|GB7DE Scotland|GB7XG G'roth FM|GB7XG T1|GB7XG T2|GB7XG scratch|GB7XG UK Multi D|GB3FF Upp. Largo|GB3PR Perth|GB3PU Perth|GB7LL K'ross FM|GB7LL T1|GB7LL T2|GB7LL scratch|GB7LL Scotland|GB7LL Scot Chat0|GB7LL Scot Multi|GB7LL SEast|GB7LL SWest|GB7LL UK Calling|GB7LL UK Wide|GB3DD Dundee|VHF V36 / S18|VHF V38 / S19|VHF V40 / S20|VHF V42 / S21|VHF V44 / S22
16,SAR/FRS,FIRE Gen Inciden|FIRE Repeaters/P|FIRE Breath Comm|FIRE Cmd Sppt|FIRE Fixed Rptr.|FIRE Breath func|FIRE Serv Def'd|FIRE Inc Def'd|FIRE Gen Inc-F|FIRE Repeaters-F|FIRE Breathing-F|FIRE Cmd Supp-F|FIRE Fix Rptr-F|FIRE Breath Fn-F|FIRE Srv Def-F|FIRE Inc Def-F|SAR Hailing-F|SARDA Analog|SAR MRC 623|SAR MRC 624|SAR DG1 T1|SAR DG1 T2|SAR DG1 Local|SAR DG1 Local 1|SAR DG2 T1|SAR DG2 T2|SAR DG2 Local|SAR DG2 Local 1|SAR DG3 T1|SAR DG3 T2|SAR DG3 Local|SAR DG3 Local 1|SAR DG4 T1|SAR DG4 T2|SAR DG4 Local|SAR DG4 Local 1|SARDA DMR T1|SARDA DMR T2|SARDA DMR Local|SAR SMR Rpt T1|SAR SMR Rpt T2|SAR SMR Rpt Loca
17,Airband East,Airband East|EDI Approach|EDI Tower|EDI Ground|EDI ATIS|EDI Director|Cumbernauld|Tay East|Montrose S|Deancross N|Scot FIS|UK SAR Common|SAR Dist/OS|GA Pilot chat|Air Train Op1|Air Train Op2|Emergency|Police Air-Gnd
18,Airband West,Airband West|GLA Approach|GLA Tower|GLA Ground|GLA ATIS|GLA Director|GLA Standby|PIK Approach|PIK Tower|PIK ATIS|PIK Standby|West Coast|Galloway N|Galloway S|Talla S|Scot FIS|UK SAR Common|SAR Dist/OS|GA Pilot chat|Air Train Op1|Air Train Op2|Emergency|Police Air-Gnd
19,Airband North,Airband North|ABZ Approach|ABZ Tower|ABZ Ground|ABZ ATIS|ABZ Director|INV Approach|INV Tower|INV ATIS|Moray|Hebrides|Scot FIS|UK SAR Common|SAR Dist/OS|GA Pilot chat|Air Train Op1|Air Train Op2|Emergency|Police Air-Gnd
20,Airband N Irelan,BFS Approach|BFS Tower|BFS Ground|BFS ATIS|EGAC Approach|EGAC Tower|EGAC ATIS|Scot FIS|UK SAR Common|SAR Dist/OS|GA Pilot chat|Air Train Op1|Air Train Op2|Emergency|Police Air-Gnd
21,RAYNET,RAYNET 2m|RAYNET 2m alt|RAYNET 2m inc|RAYNET 70cm|RAYNET 70cm Rpt|RAYNET 2m DMR
